ID;Bulb Height(mm);Bulb Draft(%);Drag Force(N);Pressure Drag(N);Viscous Drag(N)
35_1100_0_94_0_100;100;35;82.5560556;67.2246434;15.3314122
35_1100_0_94_0_120;120;35;89.7665974;68.239452;21.5271454
35_1100_0_94_0_140;140;35;94.8055923;69.5319702;25.2736221
45_1100_0_94_0_100;100;45;110.708256;82.8699633;27.838292600000003
45_1100_0_94_0_120;120;45;125.018299;86.1557964;38.8625027
45_1100_0_94_0_140;140;45;132.92775400000002;88.5066302;44.4211242
55_1100_0_94_0_100;100;55;139.92348600000003;101.621768;38.301718
55_1100_0_94_0_120;120;55;158.59086299999998;105.393401;53.1974624
55_1100_0_94_0_140;140;55;166.640961;108.819944;57.8210173
65_1100_0_94_0_100;100;65;168.836799;121.696183;47.1406157
65_1100_0_94_0_120;120;65;186.45662199999998;123.235953;63.2206687
65_1100_0_94_0_140;140;65;196.055268;127.542809;68.5124591
